Conditions,Conditions
Back,Back
Delete,Delete
"Are you sure you want to do this?","Are you sure you want to do this?"
Reset,Reset
Save,Save
"Save and Continue Edit","Save and Continue Edit"
"For all products matching the conditions below","For all products matching the conditions below"
"Apply the rule only if the following conditions are met (leave blank for all products).","Apply the rule only if the following conditions are met (leave blank for all products)."
"Web Site","Web Site"
"Customer Group","Customer Group"
"Customer Lifetime Sales >=","Customer Lifetime Sales >="
"Base Currency","Base Currency"
Points,Points
"Add Earn Rate","Add Earn Rate"
"Add Spend Rate","Add Spend Rate"
"%1 Returned to Reward Points","%1 Returned to Reward Points"
"%1 Reimbursed spent Reward Points","%1 Reimbursed spent Reward Points"
"Save Transaction","Save Transaction"
"Checkout now to earn <strong>%1 %2%3</strong> for your order.","Checkout now to earn <strong>%1 %2%3</strong> for your order."
"This amount can vary after logging in. <a href=""%1"">Learn more</a>.","This amount can vary after logging in. <a href=""%1"">Learn more</a>."
"Subscribe to Newsletter to earn <strong>%1 %2%3</strong>. <a href=""%4"">Learn more</a>.","Subscribe to Newsletter to earn <strong>%1 %2%3</strong>. <a href=""%4"">Learn more</a>."
"Register now to earn <strong>%1 %2%3</strong>. <a href=""%4"">Learn more</a>.","Register now to earn <strong>%1 %2%3</strong>. <a href=""%4"">Learn more</a>."
"%1 Returned to %2","%1 Returned to %2"
"%1 Reimbursed spent %2","%1 Reimbursed spent %2"
"The coupon generation has been added to queue and will be performed soon.","The coupon generation has been added to queue and will be performed soon."
"Coupon Generation","Coupon Generation"
Coupons,Coupons
"File is not uploaded","File is not uploaded"
"Import successfully completed! %1 of %2 records have been imported. See details in log file: %3","Import successfully completed! %1 of %2 records have been imported. See details in log file: %3"
"Aheadworks Reward Points","Aheadworks Reward Points"
Customers,Customers
"Condition must be instance of %1","Condition must be instance of %1"
"Rule was successfully deleted.","Rule was successfully deleted."
"The rule #"%1" not found.","The rule #"%1" not found."
"Edit ""%1"" Rule","Edit ""%1"" Rule"
"New Rule","New Rule"
